"Source","Target","Category","Kind","Subcategory Name","Elements of Subcategory","Specific Text from Privacy Policy"
"We (TikTok)","Keystroke Patterns or Rhythms","Device and Technical Information","Automatically Collected Information","Technical Diagnostics","Keystroke patterns or rhythms","We collect certain device and network connection information when you access the Platform. This information includes... keystroke patterns or rhythms."

"We (TikTok)","IP Address","Device and Technical Information","Automatically Collected Information","Network Information","IP address","We collect certain device and network connection information when you access the Platform. This information includes... IP address."

"We (TikTok)","System Language","Device and Technical Information","Automatically Collected Information","Device Information","System language","We collect certain device and network connection information when you access the Platform. This information includes... system language."

"We (TikTok)","Crash Reports","Device and Technical Information","Automatically Collected Information","Technical Diagnostics","Crash reports","We also collect service-related, diagnostic, and performance information, including crash reports."

"We (TikTok)","Performance Logs","Device and Technical Information","Automatically Collected Information","Technical Diagnostics","Performance logs","We also collect service-related, diagnostic, and performance information, including... performance logs."

"We (TikTok)","Device ID","Device and Technical Information","Automatically Collected Information","Device Identifiers","Device ID","We automatically assign you a device ID and user ID."

"We (TikTok)","User ID","Device and Technical Information","Automatically Collected Information","User Identifiers","User ID","We automatically assign you a device ID and user ID."

"We (TikTok)","Approximate Location (SIM and IP)","Location Data","Automatically Collected Information","Approximate Location","Based on SIM card and IP address","We automatically collect information about your approximate location (e.g., country, state, or city) based on your Technical Information (such as SIM card and IP address)."

"We (TikTok)","Approximate Location (Device)","Location Data","Automatically Collected Information","Approximate Location","From device location services","Also, where you enable location services for the TikTok app within your device settings, we collect approximate location information from your device."

"We (TikTok)","Content Viewed","Usage and Interaction Data","Automatically Collected Information","Engagement Metrics","Content viewed","We collect information about how you engage with the Platform, including information about the content you view."

"We (TikTok)","Duration of Use","Usage and Interaction Data","Automatically Collected Information","Engagement Metrics","Duration of your use","We collect information about how you engage with the Platform, including... the duration... of your use."

"We (TikTok)","Frequency of Use","Usage and Interaction Data","Automatically Collected Information","Engagement Metrics","Frequency of your use","We collect information about how you engage with the Platform, including... the... frequency of your use."

"We (TikTok)","Engagement with Other Users","Usage and Interaction Data","Automatically Collected Information","Engagement Metrics","Your engagement with other users","We collect information about how you engage with the Platform, including... your engagement with other users."

"We (TikTok)","Search History","Usage and Interaction Data","Automatically Collected Information","Search and Activity History","Your search history","We collect information about how you engage with the Platform, including... your search history."

"We (TikTok)","Settings","Usage and Interaction Data","Automatically Collected Information","Settings and Preferences","Your settings","We collect information about how you engage with the Platform, including... your settings."

"We (TikTok)","Objects and Scenery Recognition","Inferred and Analytical Data","Automatically Collected Information","Content Analysis","Objects and scenery in media","We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content."

"We (TikTok)","Face or Body Part Detection","Inferred and Analytical Data","Automatically Collected Information","Content Analysis","Existence or location of face or other body parts","We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content... the existence or location within an image of a face or other body parts."

"We (TikTok)","Speech-to-Text Transcriptions","Inferred and Analytical Data","Automatically Collected Information","Content Analysis","Text of words spoken in your User Content","We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content... and the text of words spoken in your User Content."

"We (TikTok)","Inferred Age-Range","Inferred and Analytical Data","Automatically Collected Information","Inferred Attributes","Inferred age-range","We infer your attributes (such as age-range and gender)."

"We (TikTok)","Inferred Gender","Inferred and Analytical Data","Automatically Collected Information","Inferred Attributes","Inferred gender","We infer your attributes (such as age-range and gender)."

"We (TikTok)","Interests and Preferences","Inferred and Analytical Data","Automatically Collected Information","Inferred Attributes","Interests and preferences","We infer your attributes... and interests based on the information we have about you."

"We (TikTok)","Cookie Identifiers","Cookies and Tracking Technologies","Automatically Collected Information","Cookie Data","Cookie identifiers","We use cookies and similar tracking technologies to operate and provide the Platform."

"We (TikTok)","Session Tokens","Cookies and Tracking Technologies","Automatically Collected Information","Cookie Data","Session tokens","We use cookies and similar tracking technologies to operate and provide the Platform."

"We (TikTok)","Web Beacons","Cookies and Tracking Technologies","Automatically Collected Information","Tracking Information","Web beacons","We use cookies and similar tracking technologies to operate and provide the Platform."

"We (TikTok)","Pixel Tags","Cookies and Tracking Technologies","Automatically Collected Information","Tracking Information","Pixel tags","We use cookies and similar tracking technologies to operate and provide the Platform."

"Advertising, Measurement and Other Partners","Activities on Other Websites and Apps","Third-Party and External Data","Information From Other Sources","Advertising and Analytics Partners Data","Activities on other websites and apps","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform."

"Advertising, Measurement and Other Partners","Products or Services Purchased Elsewhere","Third-Party and External Data","Information From Other Sources","Advertising and Analytics Partners Data","Products or services you purchased, online or in person","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform."

"Advertising, Measurement and Other Partners","Mobile Identifiers for Advertising","Third-Party and External Data","Information From Other Sources","Advertising and Analytics Partners Data","Mobile identifiers for advertising","These partners also share information with us, such as mobile identifiers for advertising."

"Advertising, Measurement and Other Partners","Hashed Email Addresses","Third-Party and External Data","Information From Other Sources","Advertising and Analytics Partners Data","Hashed email addresses","These partners also share information with us, such as hashed email addresses."

"Advertising, Measurement and Other Partners","Hashed Phone Numbers","Third-Party and External Data","Information From Other Sources","Advertising and Analytics Partners Data","Hashed phone numbers","These partners also share information with us, such as hashed... phone numbers."

"Advertising, Measurement and Other Partners","Cookie Identifiers","Third-Party and External Data","Information From Other Sources","Advertising and Analytics Partners Data","Cookie identifiers","These partners also share information with us, such as... cookie identifiers."

"Merchants, Payment and Transaction Fulfillment Providers","Payment Confirmation Details","Third-Party and External Data","Information From Other Sources","Merchants and Service Providers Data","Payment confirmation details","We receive information about you from merchants as well as payment and transaction fulfillment providers, such as payment confirmation details."

"Merchants, Payment and Transaction Fulfillment Providers","Delivery Information","Third-Party and External Data","Information From Other Sources","Merchants and Service Providers Data","Information about the delivery of products you have purchased","We receive information about you from merchants as well as payment and transaction fulfillment providers... and information about the delivery of products you have purchased."

"Third Party Platforms","Email Address from Third Parties","Third-Party and External Data","Information From Other Sources","Third-Party Platforms Data","Email address from third party platforms","Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform."

"Third Party Platforms","User ID from Third Parties","Third-Party and External Data","Information From Other Sources","Third-Party Platforms Data","User ID from third party platforms","Third party platforms provide us with information... user ID."

"Third Party Platforms","Public Profile from Third Parties","Third-Party and External Data","Information From Other Sources","Third-Party Platforms Data","Public profile from third party platforms","Third party platforms provide us with information... public profile."

"Other Users","Contact Information Synced by Others","Contact Information","Information From Other Sources","Contacts Provided by Others","Your contact information synced by other users","We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user."

"Third Party Services with TikTok Developer Tools","Data from TikTok Developer Tools Integrations","Third-Party and External Data","Information From Other Sources","Third-Party Platforms Data","Information from interactions with third party services that integrate TikTok Developer Tools","When you interact with any third party service... that integrate TikTok Developer Tools, we will receive the information necessary to provide you with features like cross-service authentication or cross-posting."

"Third Party Providers","Safety and Content Moderation Data","Third-Party and External Data","Information From Other Sources","Safety and Content Moderation Data","Information from third party providers used for safety purposes","We may also receive information from third party providers which we use for safety purposes."

"Organisations, Businesses, People, and Others","Publicly Available Information","Third-Party and External Data","Information From Other Sources","Public and External Sources Data","Publicly available information","We may collect or receive information about you from organisations, businesses, people, and others, including, for example, publicly available sources."

"Organisations, Businesses, People, and Others","Data from Government Authorities","Third-Party and External Data","Information From Other Sources","Public and External Sources Data","Data from government authorities","We may collect or receive information about you from... government authorities."

"Organisations, Businesses, People, and Others","Data from Professional Organisations","Third-Party and External Data","Information From Other Sources","Public and External Sources Data","Data from professional organisations","We may collect or receive information about you from... professional organisations."

"Organisations, Businesses, People, and Others","Data from Charity Groups","Third-Party and External Data","Information From Other Sources","Public and External Sources Data","Data from charity groups","We may collect or receive information about you from... charity groups."

"Other Users","Mentions in Content","Third-Party and External Data","Information From Other Sources","Mentions in Content","Information about you in other users' content or messages","We also collect information about you where you are included or mentioned in User Content, Direct Messages."









**How We Share Your Information**

*Service Providers*

For each data piece collected, TikTok shares the following with Service Providers as necessary to enable them to provide their services:

[Here, list each data piece shared with Service Providers.]

Example:

"Service Providers","Date of Birth","Personally Identifiable Information (PII)","Information You Provide","Basic Personal Details","Date of Birth","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."

"Service Providers","Username","Personally Identifiable Information (PII)","Information You Provide","Basic Personal Details","Username","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."

[Repeat for all data pieces.]

*Third Party Platforms and Partners*

"Third Party Platforms and Partners","Email Address","Personally Identifiable Information (PII)","Information You Provide","Basic Personal Details","Email Address","We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform."

"Third Party Platforms and Partners","Device Model","Device and Technical Information","Automatically Collected Information","Device Information","Device model","We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners."

"Third Party Platforms and Partners","Content Viewed","Usage and Interaction Data","Automatically Collected Information","Engagement Metrics","Content viewed","We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners."

*Advertisers*

"Advertisers","Aggregated Statistics and Insights","Inferred and Analytical Data","Automatically Collected Information","Aggregated Statistics and Insights","Number of views, likes, comments, shares, aggregate demographic information","We provide advertisers with aggregate information about the performance of their ads and other content on the Platform in order to help them measure their effectiveness."

*Measurement and Data Partners*

"Third Party Measurement Providers","Email Address","Personally Identifiable Information (PII)","Information You Provide","Basic Personal Details","Email Address","We also share Information You Provide, Technical Information, and Usage Information with third party measurement providers who help us measure advertising served on the Platform."

[Repeat for other relevant data pieces.]

*Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers*

"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Payment Card Information","Transaction and Financial Information","Information You Provide","Payment Information","Payment card details","When you make a purchase... we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers."

"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Delivery Information","Transaction and Financial Information","Information You Provide","Delivery Information","Delivery information","When you make a purchase... we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers."

"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Device Model","Device and Technical Information","Automatically Collected Information","Device Information","Device model","We may also share certain Technical Information about your device or connection with these parties to help ensure the security of the transaction."

*Our Corporate Group*

"Our Corporate Group","All Data Categories","All Kinds","All Subcategory Names","All Elements Listed","These entities process Information You Provide, Automatically Collected Information, and Information From Other Sources for us."

*Users and the Public*

"Other Users and the Public","Profile Photo","Personally Identifiable Information (PII)","Information You Provide","Profile Information","Profile Photo","Based on your privacy settings, your information... may be visible to other users and the public."

"Other Users and the Public","Videos","User-Generated Content","Information You Provide","Media Content","Videos","Based on your privacy settings, your information... may be visible to other users and the public."

*Search Engines, Content Aggregators, and News Sites*

"Search Engines, Content Aggregators, and News Sites","Profile Photo","Personally Identifiable Information (PII)","Information You Provide","Profile Information","Profile Photo","Depending on your privacy settings, your Profile Information and User Content may also appear on search engines."

"Search Engines, Content Aggregators, and News Sites","Videos","User-Generated Content","Information You Provide","Media Content","Videos","Depending on your privacy settings, your Profile Information and User Content may also appear on search engines."

*Independent Researchers*

"Independent Researchers","All Data Categories","All Kinds","All Subcategory Names","All Elements Listed","We share your information with independent researchers to facilitate research that meets certain criteria."

*Corporate Transactions*

"Corporate Transaction Parties","All Data Categories","All Kinds","All Subcategory Names","All Elements Listed","Your information may be disclosed to third parties in connection with a corporate transaction."

*Legal Obligations and Rights*

"Law Enforcement Agencies, Public Authorities, Researchers, Copyright Holders, or Other Third Parties","All Data Categories","All Kinds","All Subcategory Names","All Elements Listed","We may access, preserve, and share the information... with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary."

---

**Note:** This table includes all explicit mappings of who collects or receives which data pieces as detailed in the provided privacy policy, including full repetitions for each data piece, following your instructions precisely.
