"Source","Target","Subcategory Name","Elements of Subcategory","Specific Text from Privacy Policy"
"Service Providers","Approximate Location","Approximate Location","Based on IP Address, Based on SIM Card Data","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Precise Location","Precise Location","GPS Data from Device Location Services","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Location Tags in Content","Location Tags in Content","Tagged Locations in Posts (e.g., Tourist Attractions, Shops)","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Engagement Metrics","Engagement Metrics","Content Viewed, Duration and Frequency of Use, Interactions with Other Users","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Search and Activity History","Search and Activity History","Search Queries, Browsing History","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Settings and Preferences","Settings and Preferences","Language Preferences, Notification Settings","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Cookie Data","Cookie Data","Cookie Identifiers, Session Tokens","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Tracking Information","Tracking Information","Web Beacons, Pixel Tags","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Inferred Attributes","Inferred Attributes","Age Range, Gender, Interests and Preferences","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Content Analysis","Content Analysis","Object and Scenery Recognition in Media, Facial and Body Part Detection, Speech-to-Text Transcriptions","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Behavioral Profiles","Behavioral Profiles","Usage Patterns, Interaction Trends","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Advertising and Analytics Partners Data","Advertising and Analytics Partners Data","Activities on Other Websites and Apps, Products or Services Purchased Elsewhere, Mobile Advertising Identifiers","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Merchants and Service Providers Data","Merchants and Service Providers Data","Payment Confirmations, Delivery Updates","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Third-Party Platforms Data","Third-Party Platforms Data","Data from TikTok Sign-In on Other Platforms, Interactions via TikTok Developer Tools","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Public and External Sources Data","Public and External Sources Data","Publicly Available Information, Data from Government or Professional Organizations, Information from Charities or Businesses","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Service Providers","Mentions in Content","Mentions in Content","Information About You in Other Users' Content or Messages","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"Third Party Platforms and Partners","Basic Personal Details","Basic Personal Details","Email Address, Username","We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform."
"Third Party Platforms and Partners","Device Information","Device Information","Device Model, Operating System, Device Identifiers (Device ID)","We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform."
"Third Party Platforms and Partners","Usage Information","Usage Information","Content Viewed, Interactions with Other Users","We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform."
"Third Party Platforms","Basic Personal Details","Basic Personal Details","Username, Email Address","If you log-in to a third party platform using your account, we will share your basic account information and any other Information You Provide."
"Third Party Platforms","Technical Information","Technical Information","Certain Technical Information","If you sign-up or log-in to the Platform using your account details from a third party platform (such as Facebook or Google), we will share certain Technical Information to facilitate this."
"Other Social Media Platforms","Media Content","Media Content","Photographs, Videos, Audio Recordings, Livestreams","If you share User Content you publish on the Platform on other social media platforms, we will share your User Content and related information."
"Advertisers","Aggregated Statistics and Insights","Aggregated Statistics and Insights","Number of views, likes, comments, shares","We provide advertisers with aggregate information about the performance of their ads and other content on the Platform in order to help them measure their effectiveness. We create this aggregate information using Information You Provide, Automatically Collected Information, and Information From Other Sources."
"Advertisers","Your Information (with your permission)","All Data Elements","All Elements Listed","We share your information directly with advertisers where you give us your permission."
"Measurement and Data Partners","Basic Personal Details, Device Information, Usage Information","Basic Personal Details, Device Information, Usage Information","Email Address, Device Model, Operating System, Content Viewed, Interactions with Other Users","We also share Information You Provide, Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Purchase Details","Purchase Details","Items Purchased, Transaction Amounts, Purchase or Payment Dates","When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers. For example, we will share the order items, contact details and delivery information so your order can be processed."
"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Payment Information","Payment Information","Payment Card Details, Billing Information, Payment Confirmation Details","When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers."
"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Delivery Information","Delivery Information","Shipping Address, Delivery Status","When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers."
"Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers","Device Information","Device Information","Device Model, Operating System, Device Identifiers (Device ID)","We may also share certain Technical Information about your device or connection with these parties to help ensure the security of the transaction."
"Our Corporate Group","All Data Elements","All Data Elements","All Elements Listed","As a global company, the Platform is supported by certain entities within our corporate group ('Corporate Group'). These entities process Information You Provide, Automatically Collected Information, and Information From Other Sources for us, as necessary to provide certain functions, such as storage, content delivery, security, research and development, analytics, online payments, customer and technical support, and content moderation."
"Other Users and the Public","Profile Information","Profile Information","Profile Photo, Bio","Based on your privacy settings, your information, including your Profile Information, User Content, and Usage Information may be visible to other users and the public."
"Other Users and the Public","Media Content","Media Content","Photographs, Videos, Audio Recordings, Livestreams","Based on your privacy settings, your information, including your Profile Information, User Content, and Usage Information may be visible to other users and the public."
"Other Users and the Public","Textual Content","Textual Content","Comments, Hashtags, Feedback, Reviews","Based on your privacy settings, your information, including your Profile Information, User Content, and Usage Information may be visible to other users and the public."
"Other Users and the Public","Usage Information","Usage Information","Content Viewed, Interactions with Other Users","Based on your privacy settings, your information, including your Profile Information, User Content, and Usage Information may be visible to other users and the public."
"Search Engines, Content Aggregators, and News Sites","Profile Information","Profile Information","Profile Photo, Bio","Depending on your privacy settings, your Profile Information and User Content may also appear on search engines, content aggregators, and news sites."
"Search Engines, Content Aggregators, and News Sites","Media Content","Media Content","Photographs, Videos, Audio Recordings, Livestreams","Depending on your privacy settings, your Profile Information and User Content may also appear on search engines, content aggregators, and news sites."
"Users of Our Analytics Services","Aggregated Statistics and Insights","Aggregated Statistics and Insights","Number of views, likes, comments, shares, aggregate demographic information","We provide aggregated statistics and insights to help people and businesses understand how people are engaging with the Platform. For example, creators and advertisers can receive information about the number of views, likes, comments and shares of their videos, as well as aggregate demographic information about their followers and the viewers of their videos."
"Independent Researchers","All Data Elements","All Data Elements","All Elements Listed","We share your information with independent researchers to facilitate research that meets certain criteria as described in Our Legal Bases and How We Process Your Information."
"Corporate Transaction Parties","All Data Elements","All Data Elements","All Elements Listed","Your information may be disclosed to third parties in connection with a corporate transaction, such as a merger, sale of assets or shares, reorganisation, financing, change of control, or acquisition of all or a portion of our business."
"Law Enforcement Agencies, Public Authorities, Researchers, Copyright Holders, or Other Third Parties","All Data Elements","All Data Elements","All Elements Listed","We may access, preserve, and share the information described in 'What Information We Collect' with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to: comply with applicable law, legal process or government requests, as consistent with internationally recognised standards..."
"TikTok (Internal Use)","All Data Elements","All Data Elements","All Elements Listed","We use your information to allow you to access and use the Platform, including allowing you to create and consume content, interact with others, utilise social features, and provide you with products and services you purchase. We also personalise certain features and content on the Platform, such as providing your 'For You' feed."
"TikTok (Internal Use)","Purchase Details, Payment Information, Delivery Information","Purchase Details, Payment Information, Delivery Information","Items Purchased, Payment Card Details, Shipping Address","We use your information to process orders, such as to facilitate the purchase and delivery of products, and communicate with you about your orders. This includes sharing Purchase Information with Merchants, Payment and Transaction Fulfilment Providers, and Other Service Providers."
"TikTok (Internal Use)","All Data Elements","All Data Elements","All Elements Listed","We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation). This may include age restricting mature content, maintaining our For You feed eligibility standards, removing content or suspending or banning your account if we determine that you are violating our Terms or Guidelines."
"TikTok (Internal Use)","All Data Elements","All Data Elements","All Elements Listed","We use the information we have to administer the Platform, such as to communicate with you on service-related matters, provide you with updates and support regarding any purchase you make on or through the Platform, and respond to and process your queries, claims or disputes."
"TikTok (Internal Use)","All Data Elements","All Data Elements","All Elements Listed","We use your information to ensure the safety and well-being of our community, including by reviewing User Content (and if permitted under applicable law, Direct Messages and associated metadata) for breaches of our Terms, Guidelines, and other policies."
"TikTok (Internal Use)","All Data Elements","All Data Elements","All Elements Listed","We use your information to ensure the stability and security of the Platform, including by identifying and combating technical or security issues (such as technical bugs, spam accounts, and detecting abuse, fraud, and illegal activity)."
"TikTok (Internal Use)","All Data Elements","All Data Elements","All Elements Listed","We use the information we have to understand how people are using the Platform and to develop, test, and make improvements to the Platform, including to develop and improve our technology, such as our machine learning models and algorithms."
"TikTok (Internal Use)","All Data Elements","All Data Elements","All Elements Listed","We may send you direct marketing messages about features of the Platform and third-party services that we think will interest you. We may also send you promotions, contests, or marketing campaigns or event information."
