Source,Target,Category,Kind,Subcategory Name,Elements of Subcategory,Specific Text from Privacy Policy
We (TikTok),Device ID,Device and Technical Information,Automatically Collected Information,Automatically Assigned Identifiers,Device ID,We automatically assign you a device ID and user ID.
We (TikTok),User ID,Device and Technical Information,Automatically Collected Information,Automatically Assigned Identifiers,User ID,We automatically assign you a device ID and user ID.
We (TikTok),Approximate Location (SIM and IP),Location Data,Automatically Collected Information,Approximate Location,Based on SIM card and IP address,"We automatically collect information about your approximate location (e.g., country, state, or city) based on your Technical Information (such as SIM card and IP address)."
We (TikTok),Approximate Location (Device),Location Data,Automatically Collected Information,Approximate Location,From device location services,"Also, where you enable location services for the TikTok app within your device settings, we collect approximate location information from your device."
We (TikTok),Content Viewed,Usage and Interaction Data,Automatically Collected Information,Engagement Metrics,Content viewed,"We collect information about how you engage with the Platform, including information about the content you view."
We (TikTok),Duration of Use,Usage and Interaction Data,Automatically Collected Information,Engagement Metrics,Duration of your use,"We collect information about how you engage with the Platform, including... the duration... of your use."
We (TikTok),Frequency of Use,Usage and Interaction Data,Automatically Collected Information,Engagement Metrics,Frequency of your use,"We collect information about how you engage with the Platform, including... the... frequency of your use."
We (TikTok),Engagement with Other Users,Usage and Interaction Data,Automatically Collected Information,Engagement Metrics,Your engagement with other users,"We collect information about how you engage with the Platform, including... your engagement with other users."
We (TikTok),Search History,Usage and Interaction Data,Automatically Collected Information,Search and Activity History,Your search history,"We collect information about how you engage with the Platform, including... your search history."
We (TikTok),Settings,Usage and Interaction Data,Automatically Collected Information,Settings and Preferences,Your settings,"We collect information about how you engage with the Platform, including... your settings."
We (TikTok),Objects and Scenery Recognition,Inferred and Analytical Data,Automatically Collected Information,Content Analysis,Objects and scenery in media,"We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content."
We (TikTok),Face or Body Part Detection,Inferred and Analytical Data,Automatically Collected Information,Content Analysis,Existence or location of face or other body parts,"We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content... the existence or location within an image of a face or other body parts."
We (TikTok),Speech-to-Text Transcriptions,Inferred and Analytical Data,Automatically Collected Information,Content Analysis,Text of words spoken in your User Content,"We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content... and the text of words spoken in your User Content."
We (TikTok),Inferred Age-Range,Inferred and Analytical Data,Automatically Collected Information,Inferred Attributes,Inferred age-range,We infer your attributes (such as age-range and gender).
We (TikTok),Inferred Gender,Inferred and Analytical Data,Automatically Collected Information,Inferred Attributes,Inferred gender,We infer your attributes (such as age-range and gender).
We (TikTok),Interests and Preferences,Inferred and Analytical Data,Automatically Collected Information,Inferred Attributes,Interests and preferences,We infer your attributes... and interests based on the information we have about you.
We (TikTok),Cookie Identifiers,Cookies and Tracking Technologies,Automatically Collected Information,Cookie Data,Cookie identifiers,We use cookies and similar tracking technologies to operate and provide the Platform.
We (TikTok),Session Tokens,Cookies and Tracking Technologies,Automatically Collected Information,Cookie Data,Session tokens,We use cookies and similar tracking technologies to operate and provide the Platform.
We (TikTok),Web Beacons,Cookies and Tracking Technologies,Automatically Collected Information,Tracking Information,Web beacons,We use cookies and similar tracking technologies to operate and provide the Platform.
We (TikTok),Pixel Tags,Cookies and Tracking Technologies,Automatically Collected Information,Tracking Information,Pixel tags,We use cookies and similar tracking technologies to operate and provide the Platform.
"Advertising, Measurement and Other Partners",Activities on Other Websites and Apps,Third-Party and External Data,Information From Other Sources,Data from Advertising and Analytics Partners,Activities on other websites and apps,"Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform."
"Advertising, Measurement and Other Partners",Products or Services Purchased Elsewhere,Third-Party and External Data,Information From Other Sources,Data from Advertising and Analytics Partners,"Products or services you purchased, online or in person","Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform."
"Advertising, Measurement and Other Partners",Mobile Identifiers for Advertising,Third-Party and External Data,Information From Other Sources,Data from Advertising and Analytics Partners,Mobile identifiers for advertising,"These partners also share information with us, such as mobile identifiers for advertising."
"Advertising, Measurement and Other Partners",Hashed Email Addresses,Third-Party and External Data,Information From Other Sources,Data from Advertising and Analytics Partners,Hashed email addresses,"These partners also share information with us, such as hashed email addresses."
"Advertising, Measurement and Other Partners",Hashed Phone Numbers,Third-Party and External Data,Information From Other Sources,Data from Advertising and Analytics Partners,Hashed phone numbers,"These partners also share information with us, such as hashed... phone numbers."
"Advertising, Measurement and Other Partners",Cookie Identifiers,Third-Party and External Data,Information From Other Sources,Data from Advertising and Analytics Partners,Cookie identifiers,"These partners also share information with us, such as... cookie identifiers."
"Merchants, Payment and Transaction Fulfillment Providers",Payment Confirmation Details,Third-Party and External Data,Information From Other Sources,Data from Merchants and Service Providers,Payment confirmation details,"We receive information about you from merchants as well as payment and transaction fulfillment providers, such as payment confirmation details."
"Merchants, Payment and Transaction Fulfillment Providers",Delivery Information,Third-Party and External Data,Information From Other Sources,Data from Merchants and Service Providers,Information about the delivery of products you have purchased,We receive information about you from merchants as well as payment and transaction fulfillment providers... and information about the delivery of products you have purchased.
Third Party Platforms,Email Address from Third Parties,Third-Party and External Data,Information From Other Sources,Data from Third-Party Platforms,Email address from third party platforms,"Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform."
Third Party Platforms,User ID from Third Parties,Third-Party and External Data,Information From Other Sources,Data from Third-Party Platforms,User ID from third party platforms,Third party platforms provide us with information... user ID.
Third Party Platforms,Public Profile from Third Parties,Third-Party and External Data,Information From Other Sources,Data from Third-Party Platforms,Public profile from third party platforms,Third party platforms provide us with information... public profile.
Other Users,Contact Information Synced by Others,Contact Information,Information From Other Sources,Contacts Provided by Others,Your contact information synced by other users,We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user.
Third Party Services with TikTok Developer Tools,Data from TikTok Developer Tools Integrations,Third-Party and External Data,Information From Other Sources,Data from Third-Party Platforms,Information from interactions with third party services that integrate TikTok Developer Tools,"When you interact with any third party service... that integrate TikTok Developer Tools, we will receive the information necessary to provide you with features like cross-service authentication or cross-posting."
Third Party Providers,Safety and Content Moderation Data,Third-Party and External Data,Information From Other Sources,Data from Third-Party Platforms,Safety and Content Moderation Data,We may also receive information from third party providers which we use for safety purposes.
"Organisations, Businesses, People, and Others",Publicly Available Information,Third-Party and External Data,Information From Other Sources,Data from Public and External Sources,Publicly available information,"We may collect or receive information about you from organisations, businesses, people, and others, including, for example, publicly available sources."
"Organisations, Businesses, People, and Others",Data from Government Authorities,Third-Party and External Data,Information From Other Sources,Data from Public and External Sources,Data from government authorities,We may collect or receive information about you from... government authorities.
"Organisations, Businesses, People, and Others",Data from Professional Organisations,Third-Party and External Data,Information From Other Sources,Data from Public and External Sources,Data from professional organisations,We may collect or receive information about you from... professional organisations.
"Organisations, Businesses, People, and Others",Data from Charity Groups,Third-Party and External Data,Information From Other Sources,Data from Public and External Sources,Data from charity groups,We may collect or receive information about you from... charity groups.
Other Users,Mentions in Content,Third-Party and External Data,Information From Other Sources,Mentions in Content,Information about you in other users' content or messages,"We also collect information about you where you are included or mentioned in User Content, Direct Messages."
Service Providers,Date of Birth,Personally Identifiable Information,Information You Provide,Basic Personal Details,Date of Birth,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Username,Personally Identifiable Information,Information You Provide,Basic Personal Details,Username,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Email Address,Personally Identifiable Information,Information You Provide,Basic Personal Details,Email Address,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Telephone Number,Personally Identifiable Information,Information You Provide,Basic Personal Details,Telephone Number,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Password,Basic Personal Details,Information You Provide,Basic Personal Details,Password,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Bio,Personally Identifiable Information,Information You Provide,Profile Information,Bio,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Profile Photo,Personally Identifiable Information,Information You Provide,Profile Information,Profile Photo,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Photographs,User-Generated Content,Information You Provide,Media Content,Photographs,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Videos,User-Generated Content,Information You Provide,Media Content,Videos,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Audio Recordings,User-Generated Content,Information You Provide,Media Content,Audio Recordings,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Livestreams,User-Generated Content,Information You Provide,Media Content,Livestreams,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Comments,User-Generated Content,Information You Provide,Textual Content,Comments,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Hashtags,User-Generated Content,Information You Provide,Textual Content,Hashtags,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Feedback,User-Generated Content,Information You Provide,Textual Content,Feedback,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Reviews,User-Generated Content,Information You Provide,Textual Content,Reviews,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Content Metadata,User-Generated Content,Information You Provide,Content Metadata,"When, where, and by whom the content was created","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Clipboard Text,User-Generated Content,Information You Provide,Clipboard Content,Text from device's clipboard,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Clipboard Images,User-Generated Content,Information You Provide,Clipboard Content,Images from device's clipboard,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Clipboard Videos,User-Generated Content,Information You Provide,Clipboard Content,Videos from device's clipboard,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Location Tags in Content,Location Data,Information You Provide,Location Tags in Content,Tagged locations in posts,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Direct Message Content,Communication Data,Information You Provide,Direct Messages,Content of the message,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Direct Message Metadata,Communication Data,Information You Provide,Direct Messages,"Time sent, received, read; participants","We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Merchant Communications,Communication Data,Information You Provide,Merchant Communications,Messages with merchants,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Virtual Assistant Interactions,Communication Data,Information You Provide,Merchant Communications,Interactions with virtual assistants during purchases,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Names from Phone Book,Contact Information,Information You Provide,Device Contacts,Names from your device’s phone book,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Phone Numbers from Phone Book,Contact Information,Information You Provide,Device Contacts,Phone numbers from your device’s phone book,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Email Addresses from Phone Book,Contact Information,Information You Provide,Device Contacts,Email addresses from your device’s phone book,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Your Social Network Public Profile Information,Contact Information,Information You Provide,Social Network Contacts,Your public profile information from social networks,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Names of Social Network Contacts,Contact Information,Information You Provide,Social Network Contacts,Names of your social network contacts,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Profiles of Social Network Contacts,Contact Information,Information You Provide,Social Network Contacts,Profiles of your social network contacts,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Contacts Provided by Others,Contact Information,Information You Provide,Contacts Provided by Others,Your contact information synced by other users,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Payment Card Information,Transaction and Financial Information,Information You Provide,Payment Information,Payment card details,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Billing Information,Transaction and Financial Information,Information You Provide,Payment Information,Billing information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Delivery Information,Transaction and Financial Information,Information You Provide,Delivery Information,Delivery information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Contact Information (Purchases),Transaction and Financial Information,Information You Provide,Purchase Details,Contact information for purchases,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Items Purchased,Transaction and Financial Information,Information You Provide,Purchase Details,Items you purchased,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Survey Responses,User-Generated Content,Information You Provide,Survey Responses,Responses to surveys,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Research Participation Data,User-Generated Content,Information You Provide,Survey Responses,Participation data in research,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Contest Entries,User-Generated Content,Information You Provide,Survey Responses,Entries to contests,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Marketing Campaign Participation,User-Generated Content,Information You Provide,Survey Responses,Participation in marketing campaigns or events,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Proof of Identity,Personally Identifiable Information,Information You Provide,Identification Documents,Proof of identity,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Proof of Age,Personally Identifiable Information,Information You Provide,Identification Documents,Proof of age,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Feedback or Inquiries,Communication Data,Information You Provide,Support and Feedback,Feedback or inquiries about your use of the Platform,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Information about Possible Violations,Communication Data,Information You Provide,Support and Feedback,Information about possible violations of our Terms,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Form Data,User-Generated Content,Information You Provide,Form Data,Information entered into forms on the Platform,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Device Model,Device and Technical Information,Automatically Collected Information,Device Information,Device model,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Operating System,Device and Technical Information,Automatically Collected Information,Device Information,Operating system,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Keystroke Patterns or Rhythms,Device and Technical Information,Automatically Collected Information,Technical Diagnostics,Keystroke patterns or rhythms,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,IP Address,Device and Technical Information,Automatically Collected Information,Network Information,IP address,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,System Language,Device and Technical Information,Automatically Collected Information,Device Information,System language,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Crash Reports,Device and Technical Information,Automatically Collected Information,Technical Diagnostics,Crash reports,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Performance Logs,Device and Technical Information,Automatically Collected Information,Technical Diagnostics,Performance logs,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Device ID,Device and Technical Information,Automatically Collected Information,Automatically Assigned Identifiers,Device ID,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,User ID,Device and Technical Information,Automatically Collected Information,Automatically Assigned Identifiers,User ID,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Approximate Location (SIM and IP),Location Data,Automatically Collected Information,Approximate Location,Based on SIM card and IP address,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Approximate Location (Device),Location Data,Automatically Collected Information,Approximate Location,From device location services,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Content Viewed,Usage and Interaction Data,Automatically Collected Information,Engagement Metrics,Content viewed,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Duration of Use,Usage and Interaction Data,Automatically Collected Information,Engagement Metrics,Duration of your use,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Frequency of Use,Usage and Interaction Data,Automatically Collected Information,Engagement Metrics,Frequency of your use,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Engagement with Other Users,Usage and Interaction Data,Automatically Collected Information,Engagement Metrics,Your engagement with other users,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Search History,Usage and Interaction Data,Automatically Collected Information,Search and Activity History,Your search history,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Settings,Usage and Interaction Data,Automatically Collected Information,Settings and Preferences,Your settings,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
