"EdgeBetweenness","interaction","name","relationship","selected","shared interaction","shared name","text"
"66.0","-","UNSPECIFIED_ACTOR (-) technical information about device","COLLECT","false","-","UNSPECIFIED_ACTOR (-) technical information about device","We may also share certain Technical Information about your device or connection with these parties to help ensure the security of the transaction.
We may also share certain Technical Information about your device or connection with these parties to help ensure the security of the transaction."
"66.0","-","UNSPECIFIED_ACTOR (-) information describe in","COLLECT","false","-","UNSPECIFIED_ACTOR (-) information describe in","We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:
We may access, preserve, and share the information described in "" What Information We Collect "" with law enforcement agencies, public authorities, researchers, copyright holders, or other third parties if we have good faith belief that it is necessary to:"
"67.0","-","analytic provider (-) information you provide","COLLECT","false","-","analytic provider (-) information you provide","We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"67.0","-","analytic provider (-) technical information","COLLECT","false","-","analytic provider (-) technical information","We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"3.0","-","service provider (-) purchase information relate to transaction","COLLECT","false","-","service provider (-) purchase information relate to transaction","When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers.
When you make a purchase through the shopping features on our Platform, we share Purchase Information related to the transaction with the merchant, payment and transaction fulfilment providers, and other service providers."
"67.0","-","analytic provider (-) usage information","COLLECT","false","-","analytic provider (-) usage information","We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been."
"3.0","-","service provider (-) information you provide","COLLECT","false","-","service provider (-) information you provide","How We Share Your Information

Service Providers
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"71.0","-","we (-) UNSPECIFIED_DATA","COLLECT","false","-","we (-) UNSPECIFIED_DATA","We collect your information in three ways: Information You Provide , Automatically Collected Information , and Information From Other Sources .
We collect your information in three ways: Information You Provide , Automatically Collected Information , and Information From Other Sources .
What Information We Collect

Information You Provide

Information When You Contact Us.
We automatically collect information about your approximate location (e.g. country, state, or city) based on your Technical Information (such as SIM card and IP address).
We automatically collect information about your approximate location (e.g. country, state, or city) based on your Technical Information (such as SIM card and IP address).
Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform, such as your activities on other websites and apps or in stores, including the products or services you purchased, online or in person.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
These partners also share information with us, such as mobile identifiers for advertising, hashed email addresses and phone numbers, and cookie identifiers, which we use to help match you and your actions outside of the Platform with your TikTok account.
Some of our advertisers and other partners enable us to collect similar information directly from their website or app by integrating our TikTok Advertiser Tools (such as TikTok Pixel).
Some of our advertisers and other partners enable us to collect similar information directly from their website or app by integrating our TikTok Advertiser Tools (such as TikTok Pixel).
When you interact with any third party service (such as third party apps, websites or products) that integrate TikTok Developer Tools , we will receive the information necessary to provide you with features like cross-service authentication or cross-posting.
When you interact with any third party service (such as third party apps, websites or products) that integrate TikTok Developer Tools , we will receive the information necessary to provide you with features like cross-service authentication or cross-posting.
We may also receive information from third party providers which we use for safety purposes, including to protect users on the Platform and for content moderation.
We may also receive information from third party providers which we use for safety purposes, including to protect users on the Platform and for content moderation.
We use your information to operate, provide, develop, and improve the Platform, including for the following purposes.
We use your information to operate, provide, develop, and improve the Platform, including for the following purposes.
We share your information directly with advertisers where you give us your permission.
We share your information directly with advertisers where you give us your permission.
We share your information in other limited scenarios as follows:
We share your information in other limited scenarios as follows:
Independent Researchers: We share your information with independent researchers to facilitate research that meets certain criteria as described in Our Legal Bases and How We Process Your Information .
Independent Researchers: We share your information with independent researchers to facilitate research that meets certain criteria as described in Our Legal Bases and How We Process Your Information .
We may only use your information when we have a ""legal basis"" to do so.
We may only use your information when we have a ""legal basis"" to do so.
This means we use your information to:
This means we use your information to:
We use your information to allow you to access and use the Platform, including allowing you to create and consume content, interact with others, utilise social features, and provide you with products and services you purchase.
We use your information to allow you to access and use the Platform, including allowing you to create and consume content, interact with others, utilise social features, and provide you with products and services you purchase.
We use your information to process orders, such as to facilitate the purchase and delivery of products, and communicate with you about your orders.
We use your information to process orders, such as to facilitate the purchase and delivery of products, and communicate with you about your orders.
We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation).
We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation).
We use your information where this is necessary to achieve legitimate interests - whether belonging to us, you, or a third party - provided these interests are not outweighed by your interests or fundamental rights and freedoms.
We use your information where this is necessary to achieve legitimate interests - whether belonging to us, you, or a third party - provided these interests are not outweighed by your interests or fundamental rights and freedoms.
We use your information to ensure the safety and well-being of our community, including by reviewing User Content (and if permitted under applicable law, Direct Messages and associated metadata) for breaches of our Terms, Guidelines, and other policies.
We use your information to ensure the safety and well-being of our community, including by reviewing User Content (and if permitted under applicable law, Direct Messages and associated metadata) for breaches of our Terms, Guidelines, and other policies.
We also infer your age range, and under certain circumstances, may ask you to provide additional information to confirm your age.
We also infer your age range, and under certain circumstances, may ask you to provide additional information to confirm your age.
We use your information to ensure the stability and security of the Platform, including by identifying and combating technical or security issues (such as technical bugs, spam accounts, and detecting abuse, fraud, and illegal activity).
We use your information to ensure the stability and security of the Platform, including by identifying and combating technical or security issues (such as technical bugs, spam accounts, and detecting abuse, fraud, and illegal activity).
We share your information with independent researchers to facilitate research that meets certain criteria, including where such researchers have demonstrable experience and expertise in their area.
We share your information with independent researchers to facilitate research that meets certain criteria, including where such researchers have demonstrable experience and expertise in their area.
We share your information with third parties whose platforms or services are integrated with the Platform.
We share your information with third parties whose platforms or services are integrated with the Platform.
Provide you with the Platform : We use your information to allow you to access and use the Platform, including allowing you to create, share, and consume content, interact with others, utilise features, and provide you with products and services you purchase.
Provide you with the Platform : We use your information to allow you to access and use the Platform, including allowing you to create, share, and consume content, interact with others, utilise features, and provide you with products and services you purchase.
Personalise features and content : We use your information to personalise  certain  features and content  on the Platform, such as providing your ""For You"" feed, which shows you videos that we think you would be interested in (see here for more information) and by suggesting accounts to you.
Personalise features and content : We use your information to personalise  certain  features and content  on the Platform, such as providing your ""For You"" feed, which shows you videos that we think you would be interested in (see here for more information) and by suggesting accounts to you.
We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation).
We use your information to enforce our Terms, Guidelines, and policies (including through automated means and human moderation).
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
To perform a task in the public interest

We may use your information where it is necessary to perform a task in the public interest, including undertaking research, preventing and detecting crime, safeguarding children and promoting public safety, security, and integrity as laid down by applicable law.
To perform a task in the public interest

We may use your information where it is necessary to perform a task in the public interest, including undertaking research, preventing and detecting crime, safeguarding children and promoting public safety, security, and integrity as laid down by applicable law.
To protect someone's vital interests

We may use your information where it is necessary to protect your or someone else's life, physical integrity, or safety.
To protect someone's vital interests

We may use your information where it is necessary to protect your or someone else's life, physical integrity, or safety.
We generally provide Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally provide Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We retain information for as long as necessary to provide the Platform and for the other purposes set out in this Privacy Policy.
We retain information for as long as necessary to provide the Platform and for the other purposes set out in this Privacy Policy.
We also retain information when necessary to comply with contractual and legal obligations, when we have a legitimate business interest to do so (such as improving and developing the Platform, and enhancing its safety, security and stability), and for the exercise or defence of legal claims.
We also retain information when necessary to comply with contractual and legal obligations, when we have a legitimate business interest to do so (such as improving and developing the Platform, and enhancing its safety, security and stability), and for the exercise or defence of legal claims.
If you violate our Guidelines or Terms, we may remove your Profile Information and/or User Content from public view immediately but keep your information as is necessary to process the violation.
If you violate our Guidelines or Terms, we may remove your Profile Information and/or User Content from public view immediately but keep your information as is necessary to process the violation.
We transfer your information as described in "" What Information We Collect "" to some countries with adequacy decisions, such as the countries listed here ; or
We transfer your information as described in "" What Information We Collect "" to some countries with adequacy decisions, such as the countries listed here ; or"
"3.0","-","service provider (-) collect information","COLLECT","false","-","service provider (-) collect information","How We Share Your Information

Service Providers
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services."
"71.0","-","we (-) information you provide","COLLECT","false","-","we (-) information you provide","What Information We Collect

Information You Provide
We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password.
We collect information that you provide when you set up an account, such as your date of birth, username, email address and/or telephone number, and password.
We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us.
We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us.
We collect the Information You Provide when you fill in a form on the Platform.
We collect the Information You Provide when you fill in a form on the Platform.
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services.
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
We share limited information which may include Information You Provide , Technical Information , and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform.
Some examples include if you: log-in to a third party platform using your account, we will share your basic account information and any other Information You Provide ,
Some examples include if you: log-in to a third party platform using your account, we will share your basic account information and any other Information You Provide ,
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
We also share Information You Provide , Technical Information and Usage Information with third party measurement providers who help us measure advertising served on the Platform and help our advertisers determine how effective their ads have been.
If you have the legal capacity to enter into an enforceable contract, we use Information You Provide , Automatically Collected Information , and Information From Other Sources where it is necessary to perform the contract you enter into (our Terms) when you register for, access, or use the Platform.
If you have the legal capacity to enter into an enforceable contract, we use Information You Provide , Automatically Collected Information , and Information From Other Sources where it is necessary to perform the contract you enter into (our Terms) when you register for, access, or use the Platform.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation.
We generally use Information You Provide and Automatically Collected Information , although it depends on the specific situation."
"3.0","-","service provider (-) information from source","COLLECT","false","-","service provider (-) information from source","How We Share Your Information

Service Providers
We share Information You Provide , Automatically Collected Information , and Information From Other Sources with these service providers as necessary to enable them to provide their services."
