EdgeBetweenness,interaction,name,relationship,selected,shared interaction,shared name,text
64,-,we (-) information you provide,COLLECT,FALSE,-,we (-) information you provide,"2. Personal Data we collect

Other Information You Provide : We collect other information that you may provide to us, such as when you participate in our events or surveys or provide us with information to establish your age or identity (collectively, ""Other Information You Provide"").
2. Personal Data we collect

Other Information You Provide : We collect other information that you may provide to us, such as when you participate in our events or surveys or provide us with information to establish your age or identity (collectively, ""Other Information You Provide"")."
64,-,we (-) technical information,COLLECT,FALSE,-,we (-) technical information,"2. Personal Data we collect

Personal Data We Receive Automatically From Your Use of the Services : When you visit, use, or interact with the Services, we receive the following information (""Technical Information""):
2. Personal Data we collect

Personal Data We Receive Automatically From Your Use of the Services : When you visit, use, or interact with the Services, we receive the following information (""Technical Information""):"
256,-,we (-) device information,COLLECT,FALSE,-,we (-) device information,"2. Personal Data we collect

Personal Data We Receive Automatically From Your Use of the Services : When you visit, use, or interact with the Services, we receive the following information (""Technical Information""): Device Information : Includes name of the device, operating system, device identifiers, and browser you are using."
64,-,we (-) cookie / pixel tag,COLLECT,FALSE,-,we (-) cookie / pixel tag,"2. Personal Data we collect

Personal Data We Receive Automatically From Your Use of the Services : When you visit, use, or interact with the Services, we receive the following information (""Technical Information""):
When you visit, use, or interact with the Services, we receive the following information (""Technical Information""): Cookies and Similar Technologies : We use cookies and similar technologies to operate and administer our Services, and improve your experience.
When you visit, use, or interact with the Services, we receive the following information (""Technical Information""): Cookies and Similar Technologies : We use cookies and similar technologies to operate and administer our Services, and improve your experience.
When you visit, use, or interact with the Services, we receive the following information (""Technical Information""): Cookies and Similar Technologies : We use cookies and similar technologies to operate and administer our Services, and improve your experience."
384,-,we (-) log datum,COLLECT,FALSE,-,we (-) log datum,"2. Personal Data we collect

Personal Data We Receive Automatically From Your Use of the Services : When you visit, use, or interact with the Services, we receive the following information (""Technical Information""): Log Data : Information that your browser or device automatically sends when you use our Services."
64,-,we (-) internet activity,COLLECT,FALSE,-,we (-) internet activity,"2. Personal Data we collect

Personal Data We Receive Automatically From Your Use of the Services : When you visit, use, or interact with the Services, we receive the following information (""Technical Information""):
: When you visit, use, or interact with the Services, we receive the following information (""Technical Information""): Usage Data : We may automatically collect information about your use of the Services, such as the types of content that you view or engage with, the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection."
384,-,we (-) information about use of services,COLLECT,FALSE,-,we (-) information about use of services,": When you visit, use, or interact with the Services, we receive the following information (""Technical Information""): Usage Data : We may automatically collect information about your use of the Services, such as the types of content that you view or engage with, the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection.
: When you visit, use, or interact with the Services, we receive the following information (""Technical Information""): Usage Data : We may automatically collect information about your use of the Services, such as the types of content that you view or engage with, the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection."
64,-,we (-) UNSPECIFIED_DATA,COLLECT,FALSE,-,we (-) UNSPECIFIED_DATA,"We collect information from other sources, like information that is publicly available on the internet, in particular to develop the models that power our Services.
We collect information from other sources, like information that is publicly available on the internet, in particular to develop the models that power our Services.
We also receive information from our trusted partners, such as security partners to protect against fraud, abuse, and other security threats to our Services or marketing vendors who provide us with information about potential customers of our business services.
We also receive information from our trusted partners, such as security partners to protect against fraud, abuse, and other security threats to our Services or marketing vendors who provide us with information about potential customers of our business services."
64,-,we (-) personal data we share,COLLECT,FALSE,-,we (-) personal data we share,"Our affiliates may use the Personal Data we share in a manner consistent with this Privacy Policy.
Our affiliates may use the Personal Data we share in a manner consistent with this Privacy Policy."
34,-,social media (-) aggregate / deidentified / pseudonymized information,COLLECT,FALSE,-,social media (-) aggregate / deidentified / pseudonymized information,"In addition, the companies that host our social media pages may provide us with aggregate information and analytics about our social media activity.
In addition, the companies that host our social media pages may provide us with aggregate information and analytics about our social media activity."
6,-,service provider (-) personal information,COLLECT,FALSE,-,service provider (-) personal information,"In certain circumstances we may disclose your Personal Data to: Vendors and Service Providers
: To assist us in meeting business operations needs and to perform certain services and functions, we may disclose Personal Data to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, content delivery services, data warehouse services, support and safety monitoring services, email communication software, web analytics services, payment and transaction providers, and other information technology services providers.
: To assist us in meeting business operations needs and to perform certain services and functions, we may disclose Personal Data to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, content delivery services, data warehouse services, support and safety monitoring services, email communication software, web analytics services, payment and transaction providers, and other information technology services providers.
By using our Services, you understand and acknowledge that your Personal Data will be processed and stored in our facilities and servers in the United States and may be disclosed to our service providers and affiliates in other jurisdictions.
By using our Services, you understand and acknowledge that your Personal Data will be processed and stored in our facilities and servers in the United States and may be disclosed to our service providers and affiliates in other jurisdictions."
93,-,UNSPECIFIED_ACTOR (-) personal information,COLLECT,FALSE,-,UNSPECIFIED_ACTOR (-) personal information,"In certain circumstances we may disclose your Personal Data to: Vendors and Service Providers
: To assist us in meeting business operations needs and to perform certain services and functions, we may disclose Personal Data to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, content delivery services, data warehouse services, support and safety monitoring services, email communication software, web analytics services, payment and transaction providers, and other information technology services providers.
: To assist us in meeting business operations needs and to perform certain services and functions, we may disclose Personal Data to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, content delivery services, data warehouse services, support and safety monitoring services, email communication software, web analytics services, payment and transaction providers, and other information technology services providers.
Pursuant to our instructions, these parties will access, process, or store Personal Data only in the course of performing their duties to us.
Pursuant to our instructions, these parties will access, process, or store Personal Data only in the course of performing their duties to us.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
In certain circumstances we may disclose your Personal Data to: Government Authorities or Other Third Parties : We may share your Personal Data, including information about your interaction with our Services, with government authorities, industry peers, or other third parties in compliance with the law (i) if required to do so by law or in the good faith belief that such action is necessary to comply with a legal obligation, (ii) to protect and defend our rights or property, (iii) if we determine, in our sole discretion, that there is a violation of our terms, policies, or the law; (iv) to detect or prevent fraud or other illegal activity; (v) to protect the safety, security, and integrity of our products, employees, or users, or the public, or (vi) to protect against legal liability.
In certain circumstances we may disclose your Personal Data to: Affiliates
You have the following statutory rights in relation to your Personal Data: Transfer your Personal Data to a third party (right to data portability).
You have the following statutory rights in relation to your Personal Data: Transfer your Personal Data to a third party (right to data portability).
By using our Services, you understand and acknowledge that your Personal Data will be processed and stored in our facilities and servers in the United States and may be disclosed to our service providers and affiliates in other jurisdictions.
By using our Services, you understand and acknowledge that your Personal Data will be processed and stored in our facilities and servers in the United States and may be disclosed to our service providers and affiliates in other jurisdictions."
31,-,UNSPECIFIED_ACTOR (-) UNSPECIFIED_DATA,COLLECT,FALSE,-,UNSPECIFIED_ACTOR (-) UNSPECIFIED_DATA,": If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets."
87,-,counterpartie (-) personal information,COLLECT,FALSE,-,counterpartie (-) personal information,": If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets."
29,-,counterpartie (-) UNSPECIFIED_DATA,COLLECT,FALSE,-,counterpartie (-) UNSPECIFIED_DATA,": If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets."
81,-,other (-) personal information,COLLECT,FALSE,-,other (-) personal information,": If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets."
27,-,other (-) UNSPECIFIED_DATA,COLLECT,FALSE,-,other (-) UNSPECIFIED_DATA,": If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets."
75,-,successor (-) personal information,COLLECT,FALSE,-,successor (-) personal information,": If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets."
25,-,successor (-) UNSPECIFIED_DATA,COLLECT,FALSE,-,successor (-) UNSPECIFIED_DATA,": If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets.
: If we are involved in strategic transactions, reorganization, bankruptcy, receivership, or transition of service to another provider (collectively, a ""Transaction""), your Personal Data and other information may be disclosed in the diligence process with counterparties and others assisting with the Transaction and transferred to a successor or affiliate as part of that Transaction along with other assets."
69,-,business transfer (-) personal information,COLLECT,FALSE,-,business transfer (-) personal information,In certain circumstances we may disclose your Personal Data to: Business Transfers
63,-,government authority (-) personal information,COLLECT,FALSE,-,government authority (-) personal information,"In certain circumstances we may disclose your Personal Data to: Government Authorities or Other Third Parties : We may share your Personal Data, including information about your interaction with our Services, with government authorities, industry peers, or other third parties in compliance with the law (i) if required to do so by law or in the good faith belief that such action is necessary to comply with a legal obligation, (ii) to protect and defend our rights or property, (iii) if we determine, in our sole discretion, that there is a violation of our terms, policies, or the law; (iv) to detect or prevent fraud or other illegal activity; (v) to protect the safety, security, and integrity of our products, employees, or users, or the public, or (vi) to protect against legal liability."
1,-,administrator of account (-) openai account,COLLECT,FALSE,-,administrator of account (-) openai account,"When you join a ChatGPT Enterprise or business account, the administrator of that account may access and control your OpenAI account.
When you join a ChatGPT Enterprise or business account, the administrator of that account may access and control your OpenAI account."
45,-,business account administrator (-) personal information,COLLECT,FALSE,-,business account administrator (-) personal information,In certain circumstances we may disclose your Personal Data to: Business Account Administrators
