Source,Target,Subcategory,Category,Kind,Text
We (TikTok),Chats with Merchants,Merchant Communications,Communication Data,Information You Provide,We also collect the messages you send or receive through our chat functionality when communicating with merchants who sell goods to you.
We (TikTok),Virtual Assistant Interactions,Merchant Communications,Communication Data,Information You Provide,...and your use of virtual assistants when purchasing items through the Platform.
We (TikTok),Names from Phone Book,Device Contacts,Contact Information,Information You Provide,"If you choose to sync your contacts, we will collect information from your device’s phone book such as names."
We (TikTok),Phone Numbers from Phone Book,Device Contacts,Contact Information,Information You Provide,"If you choose to sync your contacts, we will collect information from your device’s phone book such as... phone numbers."
We (TikTok),Email Addresses from Phone Book,Device Contacts,Contact Information,Information You Provide,"If you choose to sync your contacts, we will collect information from your device’s phone book such as... email addresses."
We (TikTok),Your Social Network Public Profile Information,Social Network Contacts,Contact Information,Information You Provide,"If you choose to find other users through your social network contacts, we will collect your public profile information."
We (TikTok),Names of Social Network Contacts,Social Network Contacts,Contact Information,Information You Provide,...as well as names and profiles of your social network contacts.
We (TikTok),Profiles of Social Network Contacts,Social Network Contacts,Contact Information,Information You Provide,...as well as names and profiles of your social network contacts.
We (TikTok),Contacts Provided by Others,Contacts Provided by Others,Contact Information,Information You Provide,We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user.
We (TikTok),Payment Card Information,Payment Information,Transaction and Financial Information,Information You Provide,"When you make a purchase or payment on or through the Platform, including when you buy TikTok Coins or purchase goods through our shopping features, we collect information about the purchase or payment transaction, such as payment card information."
We (TikTok),Billing Information,Payment Information,Transaction and Financial Information,Information You Provide,"When you make a purchase or payment on or through the Platform... we collect information about the purchase or payment transaction, such as... billing."
We (TikTok),Delivery Information,Delivery Information,Transaction and Financial Information,Information You Provide,"When you make a purchase or payment on or through the Platform... we collect information about the purchase or payment transaction, such as... delivery."
We (TikTok),Contact Information (Purchases),Purchase Details,Transaction and Financial Information,Information You Provide,"When you make a purchase or payment on or through the Platform... we collect information about the purchase or payment transaction, such as... contact information."
We (TikTok),Items Purchased,Purchase Details,Transaction and Financial Information,Information You Provide,"When you make a purchase or payment on or through the Platform... we collect information about the purchase or payment transaction, such as... items you purchased."
We (TikTok),Survey Responses,User Participation Data,User-Generated Content,Information You Provide,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us."
We (TikTok),Research Participation Data,User Participation Data,User-Generated Content,Information You Provide,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us."
We (TikTok),Contest Entries,User Participation Data,User-Generated Content,Information You Provide,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us."
We (TikTok),Marketing Campaign Participation,User Participation Data,User-Generated Content,Information You Provide,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us."
We (TikTok),Event Participation,User Participation Data,User-Generated Content,Information You Provide,"We collect Information You Provide if you choose to participate in a survey, research, promotion, contest, marketing campaign, or event conducted or sponsored by us."
We (TikTok),Proof of Identity,Identification Documents,Personally Identifiable Information,Information You Provide,"When you contact us, we collect the information you send us, such as proof of identity."
We (TikTok),Proof of Age,Identification Documents,Personally Identifiable Information,Information You Provide,"When you contact us, we collect the information you send us, such as proof of... age."
We (TikTok),Feedback or Inquiries,Support and Feedback,Communication Data,Information You Provide,"When you contact us, we collect the information you send us, such as... feedback or inquiries about your use of the Platform."
We (TikTok),Information about Possible Violations,Support and Feedback,Communication Data,Information You Provide,"When you contact us, we collect the information you send us, such as... information about possible violations of our Terms of Service."
We (TikTok),Form Data,User Participation Data,User-Generated Content,Information You Provide,We collect the Information You Provide when you fill in a form on the Platform.
We (TikTok),Device Model,Device Information,Device and Technical Information,Automatically Collected Information,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),Operating System,Device Information,Device and Technical Information,Automatically Collected Information,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),Keystroke Patterns or Rhythms,Technical Diagnostics,Device and Technical Information,Automatically Collected Information,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),IP Address,Network Information,Device and Technical Information,Automatically Collected Information,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),System Language,Device Information,Device and Technical Information,Automatically Collected Information,"We collect certain device and network connection information when you access the Platform. This information includes your device model, operating system, keystroke patterns or rhythms, IP address, and system language."
We (TikTok),Crash Reports,Technical Diagnostics,Device and Technical Information,Automatically Collected Information,"We also collect service-related, diagnostic, and performance information, including crash reports."
We (TikTok),Performance Logs,Technical Diagnostics,Device and Technical Information,Automatically Collected Information,"We also collect service-related, diagnostic, and performance information, including... performance logs."
We (TikTok),Device ID,Automatically Assigned Identifiers,Device and Technical Information,Automatically Collected Information,We automatically assign you a device ID and user ID.
We (TikTok),User ID,Automatically Assigned Identifiers,Device and Technical Information,Automatically Collected Information,We automatically assign you a device ID and user ID.
We (TikTok),Approximate Location (SIM and IP),Approximate Location,Location Data,Automatically Collected Information,"We automatically collect information about your approximate location (e.g., country, state, or city) based on your Technical Information (such as SIM card and IP address)."
We (TikTok),Approximate Location (Device),Approximate Location,Location Data,Automatically Collected Information,"Also, where you enable location services for the TikTok app within your device settings, we collect approximate location information from your device."
We (TikTok),Content Viewed,Engagement Metrics,Usage and Interaction Data,Automatically Collected Information,"We collect information about how you engage with the Platform, including information about the content you view."
We (TikTok),Duration of Use,Engagement Metrics,Usage and Interaction Data,Automatically Collected Information,"We collect information about how you engage with the Platform, including... the duration... of your use."
We (TikTok),Frequency of Use,Engagement Metrics,Usage and Interaction Data,Automatically Collected Information,"We collect information about how you engage with the Platform, including... the... frequency of your use."
We (TikTok),Engagement with Other Users,Engagement Metrics,Usage and Interaction Data,Automatically Collected Information,"We collect information about how you engage with the Platform, including... your engagement with other users."
We (TikTok),Search History,Search and Activity History,Usage and Interaction Data,Automatically Collected Information,"We collect information about how you engage with the Platform, including... your search history."
We (TikTok),Settings,Settings and Preferences,Usage and Interaction Data,Automatically Collected Information,"We collect information about how you engage with the Platform, including... your settings."
We (TikTok),Objects and Scenery Recognition,Content Analysis,Inferred and Analytical Data,Automatically Collected Information,"We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content."
We (TikTok),Face or Body Part Detection,Content Analysis,Inferred and Analytical Data,Automatically Collected Information,"We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content... the existence or location within an image of a face or other body parts."
We (TikTok),Speech-to-Text Transcriptions,Content Analysis,Inferred and Analytical Data,Automatically Collected Information,"We detect and collect characteristics and features about the videos, images, and audio recordings that are part of your User Content... and the text of words spoken in your User Content."
We (TikTok),Inferred Age-Range,Inferred Attributes,Inferred and Analytical Data,Automatically Collected Information,We infer your attributes (such as age-range and gender).
We (TikTok),Inferred Gender,Inferred Attributes,Inferred and Analytical Data,Automatically Collected Information,We infer your attributes (such as age-range and gender).
We (TikTok),Interests and Preferences,Inferred Attributes,Inferred and Analytical Data,Automatically Collected Information,We infer your attributes... and interests based on the information we have about you.
We (TikTok),Cookie Identifiers,Cookie Data,Cookies and Tracking Technologies,Automatically Collected Information,We use cookies and similar tracking technologies to operate and provide the Platform.
We (TikTok),Session Tokens,Cookie Data,Cookies and Tracking Technologies,Automatically Collected Information,We use cookies and similar tracking technologies to operate and provide the Platform.
We (TikTok),Web Beacons,Tracking Information,Cookies and Tracking Technologies,Automatically Collected Information,We use cookies and similar tracking technologies to operate and provide the Platform.
We (TikTok),Pixel Tags,Tracking Information,Cookies and Tracking Technologies,Automatically Collected Information,We use cookies and similar tracking technologies to operate and provide the Platform.
"Advertising, Measurement and Other Partners",Activities on Other Websites and Apps,Data from Advertising and Analytics Partners,Third-Party and External Data,Information From Other Sources,"Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform."
"Advertising, Measurement and Other Partners",Products or Services Purchased Elsewhere,Data from Advertising and Analytics Partners,Third-Party and External Data,Information From Other Sources,"Advertisers, measurement and other partners share information with us about you and the actions you have taken outside of the Platform."
"Advertising, Measurement and Other Partners",Mobile Identifiers for Advertising,Data from Advertising and Analytics Partners,Third-Party and External Data,Information From Other Sources,"These partners also share information with us, such as mobile identifiers for advertising."
"Advertising, Measurement and Other Partners",Hashed Email Addresses,Data from Advertising and Analytics Partners,Third-Party and External Data,Information From Other Sources,"These partners also share information with us, such as hashed email addresses."
"Advertising, Measurement and Other Partners",Hashed Phone Numbers,Data from Advertising and Analytics Partners,Third-Party and External Data,Information From Other Sources,"These partners also share information with us, such as hashed... phone numbers."
"Advertising, Measurement and Other Partners",Cookie Identifiers,Data from Advertising and Analytics Partners,Third-Party and External Data,Information From Other Sources,"These partners also share information with us, such as... cookie identifiers."
"Merchants, Payment and Transaction Fulfillment Providers",Payment Confirmation Details,Data from Merchants and Service Providers,Third-Party and External Data,Information From Other Sources,"We receive information about you from merchants as well as payment and transaction fulfillment providers, such as payment confirmation details."
"Merchants, Payment and Transaction Fulfillment Providers",Delivery Information,Data from Merchants and Service Providers,Third-Party and External Data,Information From Other Sources,We receive information about you from merchants as well as payment and transaction fulfillment providers... and information about the delivery of products you have purchased.
Third Party Platforms,Email Address from Third Parties,Data from Third-Party Platforms,Third-Party and External Data,Information From Other Sources,"Third party platforms provide us with information (such as your email address, user ID, and public profile) when you choose to sign up for or log in to the Platform."
Third Party Platforms,User ID from Third Parties,Data from Third-Party Platforms,Third-Party and External Data,Information From Other Sources,Third party platforms provide us with information... user ID.
Third Party Platforms,Public Profile from Third Parties,Data from Third-Party Platforms,Third-Party and External Data,Information From Other Sources,Third party platforms provide us with information... public profile.
Other Users,Contact Information Synced by Others,Contacts Provided by Others,Contact Information,Information From Other Sources,We may also receive contact information that you hold or is held about you when contact information is synced with our Platform by you or another user.
Third Party Services with TikTok Developer Tools,Data from TikTok Developer Tools Integrations,Data from Third-Party Platforms,Third-Party and External Data,Information From Other Sources,"When you interact with any third party service... that integrate TikTok Developer Tools, we will receive the information necessary to provide you with features like cross-service authentication or cross-posting."
Third Party Providers,Safety and Content Moderation Data,Data from Third-Party Platforms,Third-Party and External Data,Information From Other Sources,We may also receive information from third party providers which we use for safety purposes.
"Organisations, Businesses, People, and Others",Publicly Available Information,Data from Public and External Sources,Third-Party and External Data,Information From Other Sources,"We may collect or receive information about you from organisations, businesses, people, and others, including, for example, publicly available sources."
"Organisations, Businesses, People, and Others",Data from Government Authorities,Data from Public and External Sources,Third-Party and External Data,Information From Other Sources,We may collect or receive information about you from... government authorities.
"Organisations, Businesses, People, and Others",Data from Professional Organisations,Data from Public and External Sources,Third-Party and External Data,Information From Other Sources,We may collect or receive information about you from... professional organisations.
"Organisations, Businesses, People, and Others",Data from Charity Groups,Data from Public and External Sources,Third-Party and External Data,Information From Other Sources,We may collect or receive information about you from... charity groups.
Other Users,Mentions in Content,Mentions in Content,Third-Party and External Data,Information From Other Sources,"We also collect information about you where you are included or mentioned in User Content, Direct Messages."
Service Providers,Date of Birth,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Username,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Email Address,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Telephone Number,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Password,Basic Personal Details,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Profile Bio,Profile Information,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Profile Photo,Profile Information,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Photographs,Media Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Videos,Media Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Audio Recordings,Media Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Livestreams,Media Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Comments,Textual Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Hashtags,Textual Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Feedback,Textual Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Reviews,Textual Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Content Metadata,Content Metadata,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Clipboard Text,Clipboard Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Clipboard Images,Clipboard Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Clipboard Videos,Clipboard Content,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Location Information,Location Tags in Content,Location Data,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Message Content,Direct Messages,Communication Data,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Timestamps,Direct Messages,Communication Data,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Chats with Merchants,Merchant Communications,Communication Data,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Virtual Assistant Interactions,Merchant Communications,Communication Data,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Names from Phone Book,Device Contacts,Contact Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Phone Numbers from Phone Book,Device Contacts,Contact Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Email Addresses from Phone Book,Device Contacts,Contact Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Your Social Network Public Profile Information,Social Network Contacts,Contact Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Names of Social Network Contacts,Social Network Contacts,Contact Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Profiles of Social Network Contacts,Social Network Contacts,Contact Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Contacts Provided by Others,Contacts Provided by Others,Contact Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Payment Card Information,Payment Information,Transaction and Financial Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Billing Information,Payment Information,Transaction and Financial Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Delivery Information,Delivery Information,Transaction and Financial Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Contact Information (Purchases),Purchase Details,Transaction and Financial Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Items Purchased,Purchase Details,Transaction and Financial Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Survey Responses,User Participation Data,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Research Participation Data,User Participation Data,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Contest Entries,User Participation Data,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Marketing Campaign Participation,User Participation Data,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Proof of Identity,Identification Documents,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Proof of Age,Identification Documents,Personally Identifiable Information,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Feedback or Inquiries,Support and Feedback,Communication Data,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Information about Possible Violations,Support and Feedback,Communication Data,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Form Data,User Participation Data,User-Generated Content,Information You Provide,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Device Model,Device Information,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Operating System,Device Information,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Keystroke Patterns or Rhythms,Technical Diagnostics,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,IP Address,Network Information,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,System Language,Device Information,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Crash Reports,Technical Diagnostics,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Performance Logs,Technical Diagnostics,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Device ID,Automatically Assigned Identifiers,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,User ID,Automatically Assigned Identifiers,Device and Technical Information,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Approximate Location (SIM and IP),Approximate Location,Location Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Approximate Location (Device),Approximate Location,Location Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Content Viewed,Engagement Metrics,Usage and Interaction Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Duration of Use,Engagement Metrics,Usage and Interaction Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Frequency of Use,Engagement Metrics,Usage and Interaction Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Engagement with Other Users,Engagement Metrics,Usage and Interaction Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Search History,Search and Activity History,Usage and Interaction Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Settings,Settings and Preferences,Usage and Interaction Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Objects and Scenery Recognition,Content Analysis,Inferred and Analytical Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Face or Body Part Detection,Content Analysis,Inferred and Analytical Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Speech-to-Text Transcriptions,Content Analysis,Inferred and Analytical Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Inferred Age-Range,Inferred Attributes,Inferred and Analytical Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Inferred Gender,Inferred Attributes,Inferred and Analytical Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Interests and Preferences,Inferred Attributes,Inferred and Analytical Data,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Cookie Identifiers,Cookie Data,Cookies and Tracking Technologies,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Session Tokens,Cookie Data,Cookies and Tracking Technologies,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Web Beacons,Tracking Information,Cookies and Tracking Technologies,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Pixel Tags,Tracking Information,Cookies and Tracking Technologies,Automatically Collected Information,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Activities on Other Websites and Apps,Data from Advertising and Analytics Partners,Third-Party and External Data,Information From Other Sources,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
Service Providers,Products or Services Purchased Elsewhere,Data from Advertising and Analytics Partners,Third-Party and External Data,Information From Other Sources,"We share Information You Provide, Automatically Collected Information, and Information From Other Sources with these service providers as necessary to enable them to provide their services."
